名稱,創造者,首次公開發布的時間,最新穩定版本,售价 (USD),授權條款
Acme,Rob Pike,1993年,隨第4版Plan 9發佈,免費,LPL (OSI批准)
AkelPad,Aleksander Shengalts、Alexey Kuznetsov和其他贡献者,2003年,4.5.4,免費,BSD许可证
Alphatk,原屬Pete Keleher，現歸Alpha-development cabal,1990年,8.0,$ 40，共享軟件,內核不開源，含有BSD組件
Alphatk,Vince Darley,1999年,8.3.3,$ 40,專有，含有BSD組件
AptEdit,Brother Technology,2003年,4.8.1,$ 44.95,專有
Atom,GitHub,2014年,0.179.0,免費,MIT
BBEdit,Rich Siegel,1992年4月,8.2.3,$ 199；教學使用$ 49,專有
Bluefish,Bluefish Dev Team,1999年,2.2.4,免費,GPL
Crimson Editor,Ingyu Kang, ?,3.7,免費,開源，使用證不明
ConTEXT,Eden Kirin,1999年,0.98.2,免費,專有
EditPlus,ES-Computing,1998年3月20日,3.70,$ 35 / 人,專有
gedit,GNU工程,2000年,3.13.2,免費,GPL
GNU Emacs[1],GNU工程,1975年,24.3,免費,GPL
Kate,KDE,2000年12月,3.5.3,免費,GPL
KWrite,KDE,2000年,4.5.3,免費,GPL
jEdit,Slava Pestov,1998年（?）,4.2,免費,GPL
JOE,Joseph Allen,1992年（?）,3.3,免費,GPL
Nano,GNU工程,1999年,2.0.9,免費,GPL
Netpad,原屬NetSoft Inc.,2008年,1.0.3,免費,GPL
記事本,微軟,1985年,6.0,屬於Windows系統,專有
Notepad++,侯今吾,2003年11月25日,6.7.4,免費,GPL
Notepad2,Florian Balmer,2004年4月,4.2.25,免費,GPL
nvi,Bill Joy,1976年,1.79,免費,BSD許可證
Pico,華盛頓大學, ?,4.64,免費,專有
Professional Notepad,ATech Group,2004年,2.9,$ 18,專有
PSPad,Jan Fiala,2002年,4.5.6,免費,專有
Rainbow Text Editor,陳基順(Chen Chi-Shun),2004年11月,3.8,免費,專有
SubEthaEdit,TheCodingMonkeys,2003年,2.1.1,$ 35商業使用,專有
TextPad,Helios Software Solutions,1992年,4.7.3,$ 29,共享軟件
UltraEdit,IDM Computer Solutions,1994年,21.20,$ 79.95,專有
vim,Bram Moolenaar,1988年,7.4,免費,GPL-兼容
XEmacs,Lucid Inc.,1991年,21.0,免費,GPL
Zeus,Xidicone P/L,1995年,3.95f,$ 39.95,專有
MadEdit,madedit,2006年,0.2.9,免費,GPL
名稱,創造者,首次公開發布的時間,最新的穩定版本,售价 (USD),發佈協議
